IPOG-C
Scenario; Strength; Pos-Size; Neg-Size; Pos-Eff.; Neg-Eff.; Eff.; pos-faults; neg-faults
Scenario2_2_2; 1; 7; 0; 0.25; 0.00; 0.12; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1); 
Scenario2_2_2; 1; 7; 0; 0.30; 0.00; 0.15; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-09 (d=2); 
Scenario2_2_2; 1; 7; 0; 0.30; 0.00; 0.15; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-15 (d=3); 
Scenario2_2_2; 1; 6; 1; 0.30; 0.05; 0.17; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-15 (d=3); -fault-03
Scenario2_2_2; 1; 7; 0; 0.30; 0.00; 0.15; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-09 (d=2); 
Scenario2_2_2; 1; 7; 0; 0.30; 0.00; 0.15; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-07 (d=2); 
Scenario2_2_2; 1; 6; 1; 0.35; 0.10; 0.23; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-06 (d=2), +fault-08 (d=2); -fault-05, -fault-15
Scenario2_2_2; 1; 5; 2; 0.25; 0.15; 0.20; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1); -fault-01, -fault-03, -fault-13
Scenario2_2_2; 1; 6; 1; 0.20; 0.10; 0.15; +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1); -fault-04, -fault-09
Scenario2_2_2; 1; 7; 0; 0.30; 0.00; 0.15; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-15 (d=3); 
Scenario2_2_2; 2; 86; 7; 0.60; 0.50; 0.55; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-06 (d=2), +fault-07 (d=2), +fault-08 (d=2), +fault-10 (d=2), +fault-11 (d=3), +fault-14 (d=3), +fault-15 (d=3); -fault-01, -fault-02, -fault-03, -fault-04, -fault-05, -fault-07, -fault-08, -fault-10, -fault-16, -fault-20
