IPOG-C
Scenario; Strength; Pos-Size; Neg-Size; Pos-Eff.; Neg-Eff.; Eff.; pos-faults; neg-faults
Scenario1_4_4; 1; 7; 0; 0.30; 0.00; 0.15; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-10 (d=2); 
Scenario1_4_4; 1; 7; 0; 0.40; 0.00; 0.20; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-09 (d=2), +fault-15 (d=3), +fault-20 (d=4); 
Scenario1_4_4; 1; 7; 0; 0.35; 0.00; 0.17; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-09 (d=2), +fault-10 (d=2); 
Scenario1_4_4; 1; 7; 0; 0.25; 0.00; 0.12; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1); 
Scenario1_4_4; 1; 7; 0; 0.30; 0.00; 0.15; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-14 (d=3); 
Scenario1_4_4; 1; 7; 0; 0.30; 0.00; 0.15; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-09 (d=2); 
Scenario1_4_4; 1; 7; 0; 0.30; 0.00; 0.15; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-07 (d=2); 
Scenario1_4_4; 1; 7; 0; 0.30; 0.00; 0.15; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-14 (d=3); 
Scenario1_4_4; 1; 7; 0; 0.25; 0.00; 0.12; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1); 
Scenario1_4_4; 1; 7; 0; 0.35; 0.00; 0.17; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-07 (d=2), +fault-10 (d=2); 
