IPOG-C
Scenario; Strength; Pos-Size; Neg-Size; Pos-Eff.; Neg-Eff.; Eff.; pos-faults; neg-faults
Scenario1_3_3; 1; 5; 0; 0.30; 0.00; 0.15; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-16 (d=4); 
Scenario1_3_3; 1; 5; 0; 0.25; 0.00; 0.12; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1); 
Scenario1_3_3; 1; 5; 0; 0.35; 0.00; 0.17; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-09 (d=2), +fault-15 (d=3); 
Scenario1_3_3; 1; 5; 0; 0.35; 0.00; 0.17; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-09 (d=2), +fault-15 (d=3); 
Scenario1_3_3; 1; 5; 0; 0.25; 0.00; 0.12; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1); 
Scenario1_3_3; 1; 5; 0; 0.35; 0.00; 0.17; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-09 (d=2), +fault-10 (d=2); 
Scenario1_3_3; 1; 5; 0; 0.30; 0.00; 0.15; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-08 (d=2); 
Scenario1_3_3; 1; 5; 0; 0.40; 0.00; 0.20; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-09 (d=2), +fault-15 (d=3), +fault-20 (d=4); 
Scenario1_3_3; 1; 5; 0; 0.40; 0.00; 0.20; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-06 (d=2), +fault-09 (d=2), +fault-15 (d=3); 
Scenario1_3_3; 1; 5; 0; 0.30; 0.00; 0.15; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-10 (d=2); 
Scenario1_3_3; 2; 48; 2; 0.65; 0.25; 0.45; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-06 (d=2), +fault-07 (d=2), +fault-08 (d=2), +fault-09 (d=2), +fault-10 (d=2), +fault-15 (d=3), +fault-16 (d=4), +fault-19 (d=4); -fault-04, -fault-05, -fault-10, -fault-14, -fault-20
Scenario1_3_3; 2; 50; 0; 0.65; 0.00; 0.33; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-06 (d=2), +fault-07 (d=2), +fault-08 (d=2), +fault-09 (d=2), +fault-10 (d=2), +fault-13 (d=3), +fault-14 (d=3), +fault-15 (d=3); 
Scenario1_3_3; 2; 45; 4; 0.70; 0.30; 0.50; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-06 (d=2), +fault-07 (d=2), +fault-08 (d=2), +fault-09 (d=2), +fault-10 (d=2), +fault-14 (d=3), +fault-15 (d=3), +fault-16 (d=4), +fault-20 (d=4); -fault-02, -fault-03, -fault-04, -fault-05, -fault-08, -fault-12
Scenario1_3_3; 2; 51; 2; 0.70; 0.20; 0.45; +fault-01 (d=1), +fault-02 (d=1), +fault-03 (d=1), +fault-04 (d=1), +fault-05 (d=1), +fault-06 (d=2), +fault-07 (d=2), +fault-08 (d=2), +fault-09 (d=2), +fault-10 (d=2), +fault-12 (d=3), +fault-14 (d=3), +fault-15 (d=3), +fault-20 (d=4); -fault-02, -fault-03, -fault-07, -fault-08
